Original    Solution
000000000   795362184

Original    Solution
521000000   521496378
000003210   468753219
003800060   793812465
000080050   216984753
000007020   854137926
000060000   379265184
000001800   632541897
180370000   185379642
000000000   947628531

Original    Solution
040000080   245167389
300080000   367289145
100030000   189534672
002400000   712453968
008000020   658791423
000000750   493628751
030070200   531876294
804002530   874912536
000000000   926345817

Original    Solution
005000700   135624798
700080360   742589361
000001000   986371245
000000080   463152987
020008000   527948613
010006000   819736452
300460020   351467829
608005100   678295134
000000000   294813576

Original    Solution
000300000   214356789
006004000   586974123
700000400   739182465
000000000   472568931
003007250   693417258
100000040   158239647
321045000   321745896
060820070   965821374
000000000   847693512

Original    Solution
000000000   325168479
000000010   478539612
016204030   916274538
860001000   864721395
000080140   792385146
003046000   153946827
007600000   537612984
200403000   289453761
000000000   641897253

Original    Solution
040008120   347698125
000507400   128537469
005000830   965142837
000000050   239816754
650000080   654729381
070004000   871354296
700000000   712985643
000201070   493261578
000000000   586473912

Original    Solution
000054000   162354789
005600000   835679142
740108000   749128356
050200000   351287694
006040030   976541238
280006070   284936571
008000000   598712463
000060020   413865927
000000000   627493815

Original    Solution
002010000   342517698
000000040   176289345
008000070   598634172
000750080   231756489
600300000   659348721
400020000   487921536
015470060   815472963
000805010   763895214
000000000   924163857

Original    Solution
073205000   173285469
006740000   286749315
000000000   495316287
050800070   351892674
000007000   864157923
700063800   729463851
000630100   547638192
000504000   918524736
000000000   632971548

Original    Solution
030050100   237856149
000040680   195342687
000000500   648971523
800630000   821634795
304200000   374295816
056007400   956187432
060010000   462513978
010000000   519728364
000000000   783469251

Original    Solution
000513600   287513649
300070120   364879125
050000700   951264738
070006000   472186593
100307000   195327486
030005000   638495217
040000850   746931852
000000000   523648971
000000000   819752364

Original    Solution
800130400   865132479
010000050   712489356
003765000   943765128
107300000   127348695
000006200   389516247
450200000   456297813
000070000   291673584
030000000   538924761
000000000   674851932

Original    Solution
028003700   428153769
071006000   571926438
060804050   369874152
000200000   834261597
010000000   917435826
006000340   256798341
700300080   742319685
005000000   185642973
000000000   693587214

Original    Solution
320680000   327689415
540032000   546132789
010000000   918457236
000004050   671894352
805700100   895723164
200060000   234561897
060005000   162345978
080000000   483976521
000000000   759218643

Original    Solution
370000080   372469581
100000700   145283796
080015000   689715234
000602000   594672318
000308060   217348965
003000000   863951427
050000000   951824673
028030140   728536149
000000000   436197852

Original    Solution
016000080   216354789
075000400   975268413
030001060   438791265
800040050   893142657
062000030   762589134
100000000   154673892
007005020   347815926
000007000   621937548
000000000   589426371

Original    Solution
020080000   123987456
004600080   794635182
500002070   568142379
600001000   635891247
002000000   472563891
000720000   981724563
840300000   846319725
207400030   217456938
000000000   359278614

Original    Solution
000006400   527316489
010000300   416829357
800504000   839574162
300400720   395481726
060200000   761253948
008000000   248697531
074130000   674132895
000700200   953768214
000000000   182945673

Original    Solution
000003400   127653489
605000270   635489271
004107000   894127356
000000000   283546197
000010800   569712834
741000600   741398625
000804710   956834712
000060000   372961548
000000000   418275963

Original    Solution
502100030   542197638
000800000   169823457
000005000   378645192
004070000   814279365
050000720   956384721
230060000   237561849
021006000   721936584
003708000   493758216
000000000   685412973

Original    Solution
080400050   186432759
002100000   792156384
430000000   435789261
521000800   521364897
000000000   863597412
007000600   947821635
000005020   374615928
058073100   258973146
000000000   619248573

Original    Solution
000002000   458632719
367000000   367159248
210000560   219487563
003070020   143975826
000860400   572863491
000014000   896214357
000300100   624398175
700000030   781526934
000000000   935741682

Original    Solution
400000000   458172369
070080020   379684125
612030700   612935748
000000000   123749856
000218400   567218493
800500200   894563217
030006080   731456982
000007000   245897631
000000000   986321574

Original    Solution
008600000   238615479
001402000   671492385
000000600   495378612
860050200   867159243
050004000   152834796
300700800   349726851
000060020   583967124
004280000   914283567
000000000   726541938

Original    Solution
080060070   382165479
000800060   457829163
001400200   961437258
006700040   896712345
200006000   274356891
003008000   513948726
640000500   648291537
700003000   725683914
000000000   139574682

Original    Solution
000200010   356247819
102300000   172389546
040000200   948561273
065002400   865732491
030800050   231894657
007106080   497156382
003000700   513928764
000000000   629475138
000000000   784613925

Original    Solution
701060400   731568492
000000010   258349617
064217000   964217358
003001520   473891526
000003700   126453789
000000000   589726134
005100000   695172843
040600000   342685971
000000000   817934265

Original    Solution
030000000   432185679
100600800   179624835
650070200   658379214
000000000   346712598
500803000   527893146
000456720   891456723
000501000   763541982
280000000   284967351
000000000   915238467

Original    Solution
000050700   346251789
002030000   572839461
010000000   819467235
700000620   735918624
000024000   168324597
204076000   294576813
000600170   423695178
000102050   987142356
000000000   651783942

Original    Solution
806500000   836514279
000006010   452976318
100000000   179283465
207000650   287149653
001000840   391652847
004030000   564738192
008005000   618395724
020407000   923467581
000000000   745821936

Original    Solution
070340600   579342618
010807040   316857249
028000000   428169735
000000500   147298563
000001000   295631874
863000000   863475192
750000300   754926381
600080000   631584927
000000000   982713456

Original    Solution
720300000   721354896
005000000   385926714
004870050   694871253
000645000   172645389
000203400   568293471
400000600   439187625
050000000   256418937
000002160   947532168
000000000   813769542

Original    Solution
300070400   382571469
150030000   154639728
600008000   679248135
000000000   417382596
000700000   895764312
206015000   236915847
000407200   563497281
008120050   748126953
000000000   921853674

Original    Solution
704050000   724156389
050020000   153829647
080030510   986734512
610000000   617592438
200300000   248361795
000400000   539478261
301000020   371685924
800007050   862947153
000000000   495213876

Original    Solution
030005020   738145629
001000070   561829374
400070000   429673518
002000080   172456983
006300050   946387152
080010700   385912746
000000400   213568497
657200000   657294831
000000000   894731265

Original    Solution
160004000   163524789
000006300   248796315
000130060   579138264
000200030   617249538
800005000   892315476
050080000   354687192
030000600   935872641
086001020   786451923
000000000   421963857

Original    Solution
001000000   431598276
200430000   278436159
006000080   596712483
000260000   185263794
000000320   964875321
307100500   327149568
600057000   619357842
040080600   742981635
000000000   853624917

Original    Solution
200000060   213457869
075000100   675289134
040001000   849361257
000600000   128694375
000023000   567123498
034000620   934875621
000032500   781932546
006540000   396548712
000000000   452716983

Original    Solution
007120000   437128569
008000000   568937124
000006000   912456378
051370000   251379846
000002000   843612795
700800200   796845231
100084050   129784653
370500000   374561982
000000000   685293417

Original    Solution
005000260   185749263
740830000   746832195
230001000   239651478
000007040   312597846
000000000   467328519
000060320   598164327
800070050   821973654
004080000   674285931
000000000   953416782

Original    Solution
030400510   236497518
004810000   594812367
000003000   187563294
000000040   821359746
000200850   769241853
300070000   345678921
000036100   458936172
670080000   672185439
000000000   913724685

Original    Solution
060000080   263149587
008007000   458327169
100000040   179856342
007030000   517938624
800060700   892461735
030270000   634275891
006003000   926713458
080504200   381594276
000000000   745682913

Original    Solution
600020080   614325789
300000500   328179564
507000000   597846123
436010050   436917258
100058000   172458396
000002070   859632471
000001040   263581947
000000030   781294635
000000000   945763812

Original    Solution
000008300   416578329
000400500   379462518
002100070   582139476
801000000   821394765
005821000   765821934
000706000   934756182
000003050   647983251
150000600   158247693
000000000   293615847

Original    Solution
030002700   134592768
000008400   569178423
200040000   287346159
601730200   651739284
000060000   372864591
408000000   498251637
000010070   925413876
803000010   843627915
000000000   716985342

Original    Solution
000800720   156849723
000036000   289736154
040000060   743125869
000008210   465398217
030001080   932571486
807002000   817462935
000000040   321957648
070010300   578614392
000000000   694283571

Original    Solution
000078060   134278569
000003000   756913428
002600000   892654137
003060710   243869715
000000000   917542386
605031200   685731294
000005000   361485972
520100600   528197643
000000000   479326851

Original    Solution
380000040   385726149
000043060   917543268
002108000   462198357
100000800   136459872
000630000   278631495
000207000   549287631
720000000   721365984
004800010   694872513
000000000   853914726

Original    Solution
001000700   431689725
000005380   679215384
002070060   582374169
810000650   814793652
050000000   253168497
000402000   967452813
305000000   325846971
700021000   746921538
000000000   198537246

Original    Solution
000000000   236145879
400070200   459873216
107602030   187692435
805267000   815267394
000000000   624931587
000008000   793458162
000010600   548719623
002380700   962384751
000000000   371526948

Original    Solution
006000300   256194387
000250000   378256194
010070000   419378562
000500000   624513879
007840210   537849216
000060400   891762435
100037050   142637958
000025000   783925641
000000000   965481723

Original    Solution
004005100   394725168
020040000   127648359
000100700   658193724
470060200   475861293
000402080   916432587
800070000   832579416
080300000   289354671
060010000   563917842
000000000   741286935

Original    Solution
000001030   469251738
052800040   152837946
083000010   783946512
000400600   235418679
001600080   941672385
000500000   678593421
007000250   897164253
004080000   524389167
000000000   316725894

Original    Solution
500010000   567218349
230004070   231954678
400300000   489367512
000000200   314876295
005000180   625439187
070520000   978521436
000602700   843692751
100700000   152783964
000000000   796145823

Original    Solution
020036000   128536749
063000000   463789125
000400080   579412386
300004000   316824957
200050400   297651438
800007600   845397612
002003000   652173894
030200500   934268571
000000000   781945263

Original    Solution
003000000   123456789
008270000   698273415
005000630   475819632
060007000   261947358
500080100   537682194
000100060   849135267
304020000   314528976
082000500   982761543
000000000   756394821

Original    Solution
030000400   231658479
800000000   845729136
006001050   976341852
104000500   164293587
000107060   352187964
700005000   789465321
410036200   417536298
000070000   528974613
000000000   693812745

Original    Solution
001070060   321475968
000003010   567893412
040006030   849216537
000020300   486529371
000060800   752361894
010740000   913748256
000030700   194632785
200100040   235187649
000000000   678954123

Original    Solution
000050600   273859614
100004700   185264793
060100000   469137258
007000040   517386942
800005030   824795136
306020070   396421875
008000000   738942561
641000000   641578329
000000000   952613487

Original    Solution
000003150   427863159
006000700   536129748
001000000   981475623
304600000   354698217
200000580   269731584
000250030   178254936
700300060   795382461
010006000   812946375
000000000   643517892

Original    Solution
000207000   458217639
000000710   269345718
130600000   137689245
000000000   683521974
040000350   741896352
025004000   925734186
570100000   574162893
006408020   396478521
000000000   812953467

Original    Solution
060000000   361427958
008001000   478591236
502360000   592368147
023000600   823745619
100030700   159836724
000200580   647219583
700003800   714653892
006000000   936182475
000000000   285974361

Original    Solution
208004000   238164597
070000400   679523418
501000000   541789236
087000000   187436925
000005060   923875164
000200780   456291783
000650300   712658349
000340070   895342671
000000000   364917852

Original    Solution
700063040   782163549
300008020   364598127
150000000   159247638
000004700   893614752
020000060   427359861
615800000   615872394
006400000   236481975
000000080   571926483
000000000   948735216

Original    Solution
074080000   574186239
003000060   813924765
620005040   629375148
000240000   356241897
100050000   198657324
000800000   247839651
001002500   731492586
005003400   985763412
000000000   462518973

Original    Solution
001004300   561284397
000005400   839675412
207001000   247931658
000006030   724196835
100058000   196358724
008000000   358427169
480000070   482513976
003000540   973862541
000000000   615749283

Original    Solution
600000580   612349587
000200060   457218963
003050000   893756214
004060070   924563178
100007000   136897452
000020300   785124396
000005820   341675829
008001040   268931745
000000000   579482631

Original    Solution
000700050   214736859
035000700   835429716
000080320   679581324
500000000   521647983
006153000   986153247
007200000   347298165
100000070   192365478
460000030   468972531
000000000   753814692

Original    Solution
200005700   236485719
005130020   475139628
801000300   891267345
003000400   153628497
000003000   962743851
040500000   748591236
000070080   619372584
524000000   524816973
000000000   387954162

Original    Solution
007200300   157248369
400000000   468139257
003000800   293567814
005080000   645983172
700410600   732415698
000020040   819726543
080070420   986371425
500000030   521894736
000000000   374652981

Original    Solution
000000000   351286479
000000030   689417235
247000000   247539168
108040300   128745396
500000800   536921847
070060010   974863512
465100000   465172983
002308000   712398654
000000000   893654721

Original    Solution
000060000   312965478
000071000   648271539
050004160   759384162
200800050   276813954
100007000   195427386
003500000   483596217
800042000   831742695
064000700   964158723
000000000   527639841

Original    Solution
005060720   345168729
001002050   681972354
007000000   927345618
000000000   473216985
210050000   216859437
000037100   598437162
054700800   154723896
000000240   769581243
000000000   832694571

Original    Solution
008000000   368529417
001003560   491783562
072401000   572461389
003200040   153276948
046000000   746198235
000000170   829345176
000000800   615937824
230050000   237854691
000000000   984612753

Original    Solution
000000000   418293576
360000040   369175248
002008000   572648391
005030060   725831469
100507020   194567823
000400010   683429715
007050100   237956184
006300050   846312957
000000000   951784632

Original    Solution
000000410   235687419
840250000   841259637
700410000   796413528
002008300   152768394
003001000   483591276
600000080   679324185
007040000   327945861
010000050   914836752
000000000   568172943

Original    Solution
020060700   324169758
000050060   879354162
001000040   561782349
000008000   245618937
000200400   917235486
038040520   638947521
700820000   753821694
002070000   492576813
000000000   186493275

Original    Solution
736000020   736458129
010000500   812679534
400100600   459123687
300080040   391785246
200000070   284916375
000000000   567234891
040300700   648391752
000562000   973562418
000000000   125847963

Original    Solution
000054280   679154283
020030000   425638791
031700000   831729546
000300000   142365879
007080100   567982134
003400050   983417652
700000010   754296318
000800400   396871425
000000000   218543967

Original    Solution
060004000   561284379
080000650   982173654
400000000   437569128
004801000   794821563
203000000   213956487
050007000   856347291
120035000   129735846
678000000   678412935
000000000   345698712

Original    Solution
005400000   135426789
027005300   427895316
000010020   698713425
000584000   261584937
000137600   849137652
000000000   573269148
710600000   714652893
080000500   382971564
000000000   956348271

Original    Solution
050000800   152349867
608107000   648127539
300000020   379658421
027500300   427516398
000000000   531892746
080400000   986473215
000200100   893265174
005004680   715934682
000000000   264781953

Original    Solution
600000000   645183927
273060000   273469158
000000060   198257463
084006200   384596271
500370000   516372894
000010030   729814536
050000600   452731689
001008700   931628745
000000000   867945312

Original    Solution
003005000   123485697
400010080   465719283
000000050   798263154
380007500   386127549
057006020   957346821
001500000   241598736
030000400   539871462
002000300   612954378
000000000   874632915

Original    Solution
000650300   214659378
000000000   573812469
806007000   896437152
100003020   168593724
007148000   927148536
000000080   435726981
300080600   342985617
000271000   659271843
000000000   781364295

Original    Solution
100036800   194536827
500002000   536782419
207100000   287149536
003010000   623914758
000000100   758263194
400805300   419875362
800007000   861327945
340000000   345698271
000000000   972451683

Original    Solution
000670800   234671859
050000000   657289134
010030000   819534267
003000020   143896725
500040600   528743691
000000000   796125348
382007010   382957416
070402500   971462583
000000000   465318972

Original    Solution
000080020   134687529
006004030   276954831
000000070   985123674
502000140   562839147
840005060   841275963
000000080   397461285
000508400   723598416
008010000   458316792
000000000   619742358

Original    Solution
000320470   156328479
000100000   237149568
008605000   948675132
000401700   382461795
064000000   564297813
000080020   791583624
000802000   673852941
010006080   415936287
000000000   829714356

Original    Solution
000000020   354178629
002000800   672934815
001506070   891526374
030210000   537219468
046300700   246385791
100000050   189647253
000000500   418792536
700400080   763451982
000000000   925863147

Original    Solution
023000000   123758469
840060300   845169327
000400000   796423185
010046870   319546872
002000500   462387591
587000000   587291634
000000050   278614953
001000700   651932748
000000000   934875216

Original    Solution
008470000   268473159
301005020   341695827
000000000   579182346
050000000   652317498
000054600   187954632
000820700   493826715
005700200   815739264
000041080   726541983
000000000   934268571

Original    Solution
000400630   157492638
006300000   846371259
230580010   239586417
000803020   691843725
480720000   483725196
000010300   572619384
000000000   314957862
000060000   725168943
000000000   968234571

Original    Solution
003007000   243617589
000504000   891524673
067000000   567389142
430100860   439152867
020040010   726843915
058000200   158796234
000000320   975461328
000070000   312978456
000000000   684235791

Original    Solution
000200040   135269748
600408000   672438195
000701000   894751236
420000610   423587619
007000350   987126354
500000800   516394827
040603000   749613582
200000000   261845973
000000000   358972461

Original    Solution
002070060   142375869
000000100   357968124
000000570   689142573
500020080   513724986
000500000   824596317
006800040   796813245
008600400   978631452
430087000   435287691
000000000   261459738

Original    Solution
001000830   541269837
000000050   839174256
672000040   672358149
100643000   127643598
400000000   498715362
306000710   356892714
000021000   763421985
000007000   914587623
000000000   285936471

Original    Solution
007000600   257143698
030000000   439568127
106002000   186972354
048000000   548317269
360020800   361429875
000000400   972685413
700000580   713294586
020730040   825736941
000000000   694851732

Original    Solution
008460000   138462579
050301040   257391846
000000200   694578213
081000030   581746932
700000000   762839451
003010000   943215768
020600100   325684197
400003600   479123685
000000000   816957324

Original    Solution
000056070   138256974
240000000   245879136
000000820   769314825
600400200   653481297
000705400   912765483
480030000   487932651
000003010   826543719
500000060   574198362
000000000   391627548

Original    Solution
001058200   361458297
050032000   459732186
007000040   287169543
078000060   178243965
000000020   534697821
000500700   692581734
800000070   816325479
045000300   945876312
000000000   723914658

Original    Solution
103704280   193764285
000000000   582193467
000800000   647852931
000000000   436529178
070008600   975318642
200040300   218647359
324000010   324975816
000230700   851236794
000000000   769481523

Original    Solution
360200000   364215789
002000100   752489136
010003400   819673425
000042060   987542361
503000000   543196278
001830000   621837594
230001000   238951647
000000800   196724853
000000000   475368912

Original    Solution
000300000   726318459
105020700   135429768
040050020   849756123
203000500   263841597
007000000   497235681
018007000   518967234
000004800   352194876
600500010   674583912
000000000   981672345

Original    Solution
008706000   238756149
001000830   561429837
007800050   497831256
010500000   312564798
085200000   685297314
040003000   749183562
020600000   823645971
050008000   154978623
000000000   976312485

Original    Solution
000001000   235481679
164700000   164793825
700002000   789652314
000008150   427938156
000500200   396517248
500004700   518264793
000320080   641325987
003070000   853179462
000000000   972846531

Original    Solution
000502000   148572396
527300000   527369148
030040070   639148275
086000000   386217459
200006700   254896713
700003060   791453862
810000000   815624937
002000000   472935681
000000000   963781524

Original    Solution
002050800   372451869
085000010   985627314
010803070   614893275
400000000   421735698
700006400   739286451
000100000   856149723
060074000   163574982
040060000   548962137
000000000   297318546

Original    Solution
000000000   215734869
060000370   968215374
004000000   374689125
007820500   647823591
002056000   892156437
103007600   153497682
080040010   786542913
500070000   531978246
000000000   429361758

Original    Solution
000000030   457286139
208010000   268319574
310507000   319547268
000805000   794835612
520060800   523164897
106000400   186972453
000003000   841693725
000720000   635728941
000000000   972451386

Original    Solution
000000800   164395872
205840060   275841369
030720010   839726415
000000080   326179584
001500000   981564237
407000000   457238691
000050100   793652148
040000720   548913726
000000000   612487953

Original    Solution
261000000   261458379
000037000   485937126
007000000   397261485
050380040   956382741
004010850   724619853
010000000   813745692
040500000   148523967
072100000   672194538
000000000   539876214

Original    Solution
000020050   167324958
340000000   348519267
005070000   925678143
800400030   812457639
070106800   573196824
000203070   496283571
200700400   239761485
700000000   751842396
000000000   684935712

Original    Solution
607024000   617824359
000000860   259137864
003000010   843569712
780401000   785491236
000000500   124683597
300000400   396752481
002000600   972315648
500200070   561248973
000000000   438976125

Original    Solution
000004600   132894657
500260840   579261843
000570000   486573129
040010080   245319786
000720000   361728495
008600000   798645312
024000030   624157938
000000070   953486271
000000000   817932564

Original    Solution
070000050   172348659
000000700   346529718
050176000   958176234
400050000   421657983
030800040   637891542
080000000   589234176
065013800   265413897
000065000   893765421
000000000   714982365

Original    Solution
826730040   826731549
000000200   135489267
040500800   749526813
000014600   352914678
000005000   618275394
007003000   497863125
080000400   281397456
003040000   573642981
000000000   964158732

Original    Solution
800037000   825637149
710502060   719542368
040000000   346189257
003000000   153794682
000800510   497826513
208300000   268315794
004000030   974251836
500400000   532468971
000000000   681973425

Original    Solution
004070500   234678519
000312400   579312468
680004200   681954237
000000000   425187396
006500070   896523174
013006000   713496825
000000000   152869743
007035000   947235681
000000000   368741952

Original    Solution
020810060   324815769
058300000   758369214
000000000   196472835
000080500   437981526
005000370   915246378
680007000   682537491
200000000   243198657
560004100   569724183
000000000   871653942

Original    Solution
400600850   431679852
200000140   267358149
000002000   859412637
000280000   374281596
006003000   196543278
500000010   528967413
000104360   782194365
010000700   915836724
000000000   643725981

Original    Solution
070000060   175249368
000000000   238165497
000007020   649387521
864030000   864531972
300000100   392876145
500024000   517924836
706000280   756413289
020008050   421698753
000000000   983752614

Original    Solution
000000030   245689137
370100080   379154286
001027000   681327495
000040650   137948652
000210000   564213879
020076000   928576314
006000540   716892543
000000700   892435761
000000000   453761928

Original    Solution
050006870   451296873
300004010   328754619
000318500   679318524
800070000   842173965
003000000   793465281
100020000   165829347
000002100   537642198
200000050   284931756
000000000   916587432

Original    Solution
400052030   461852739
070003510   872493516
000600020   359671428
206007000   216587394
000040100   538249167
000310000   794316852
005000000   125764983
080000200   687935241
000000000   943128675

Original    Solution
000040500   127849536
340652000   348652197
000070800   569371842
050080020   453786921
000000070   816924375
000003000   792513684
004007200   684197253
001200400   971235468
000000000   235468719

Original    Solution
540000000   541632789
032007600   832497615
000000040   769518342
600301000   697381524
025000000   425769831
008200070   318245976
000020100   974826153
100050060   183954267
000000000   256173498

Original    Solution
006050080   146259387
052003000   952783416
080060000   387461259
800300100   895326174
700010000   764518923
203007000   213947568
000000000   529674831
408102000   478132695
000000000   631895742

Original    Solution
680000200   684517239
000040000   135249786
072300040   972368145
007003800   417653892
000000600   359821674
020000510   826794513
003000000   763982451
240100060   248135967
000000000   591476328

Original    Solution
006000080   416237589
000001020   537891426
082005000   982465173
050010860   253719864
740600200   741683295
060000000   869524317
308000000   398146752
100000030   174952638
000000000   625378941

Original    Solution
060103000   465183279
080000500   387249516
002000800   912567834
008050040   298651743
000000060   751324968
004700000   634798125
026010300   826415397
170000400   179836452
000000000   543972681

Original    Solution
008503060   128543769
000000000   374196285
000072100   596872143
040067050   241367958
060000300   765984312
000000400   839251476
480000500   487639521
000410030   952418637
000000000   613725894

Original    Solution
001740600   281743659
000008000   479568132
635200000   635291478
000300000   514382796
700010840   726915843
003600000   893674521
050030000   958137264
100020000   167429385
000000000   342856917

Original    Solution
000000000   162483579
070560200   379561248
080000160   485279163
000050800   217954836
054630000   954638712
008000000   638127954
020300400   521396487
806700000   846712395
000000000   793845621

Original    Solution
283000000   283659147
700104000   756134298
000002000   419782356
040800600   345821679
000500000   127596834
000007000   698347512
064000780   964215783
800063020   871463925
000000000   532978461

Original    Solution
061400030   261478539
004053000   794153286
830000000   835269147
000000000   342687951
180000060   187945362
600021000   659321478
000000700   413896725
008502010   978532614
000000000   526714893

Original    Solution
000000260   475813269
030060070   238469175
010200000   916257384
052308040   152378946
600120050   689124753
000000000   347596812
500001620   593741628
000000000   764982531
000000000   821635497

Original    Solution
000070000   241375689
030000000   836129475
005008320   795648321
100400850   169437852
300201000   387251946
024000000   524896713
008060000   418563297
000014500   672914538
000000000   953782164

Original    Solution
050400000   158437269
640028000   649128537
002000000   372569481
000600070   235681974
080043050   981743652
000200010   467295318
700006100   794856123
820000000   826314795
000000000   513972846

Original    Solution
100000500   123467598
000000240   567189243
000000060   849532761
708004010   738924615
054000300   954618327
000000080   612375489
406850030   476851932
300200000   385296174
000000000   291743856

Original    Solution
001002300   561472389
800000000   823159467
704000000   794368125
000001000   235691874
070803500   176843592
008000630   948527631
000080010   352784916
007005240   617935248
000000000   489216753

Original    Solution
000370400   156378492
200000000   243691758
000400130   879425136
004006080   524736981
000050000   361859274
080010000   987214365
038000520   638147529
402060000   492563817
000000000   715982643

Original    Solution
040002000   845172396
000080070   192386475
360050200   367459281
000000060   234597168
000000000   976841523
501003000   581263749
420605000   429615837
008730010   658734912
000000000   713928654

Original    Solution
000064030   129764538
078000010   378259416
506000070   546138279
000040150   867942153
000000080   491375682
230000000   235816794
000600040   712683945
600501000   684591327
000000000   953427861

Original    Solution
003802000   163872495
400000260   487159263
020004070   529364178
052600000   352641789
070030000   871935624
000008050   946728351
000200010   794283516
600007000   615497832
000000000   238516947

Original    Solution
600000400   615237489
007008000   397458126
200000000   284196357
006000500   176824593
850300000   852379614
000001200   439561278
023045860   723945861
040010000   948612735
000000000   561783942

Original    Solution
500034800   512634879
063020050   863729154
000005300   947185326
700000000   721468593
004000000   394517268
050302010   658392417
400001000   485971632
030800000   239856741
000000000   176243985

Original    Solution
060005320   164795328
300000000   395268714
007001050   287431956
640000000   643127589
000080000   571689243
000350670   829354671
000006400   732816495
450000100   458973162
000000000   916542837

Original    Solution
000305080   274365189
183400000   183479256
650100000   659182437
000020300   716524398
040000000   342698571
005000040   895713642
060800000   467831925
000057060   931257864
000000000   528946713

Original    Solution
056480000   356482179
000305000   149375286
007001430   827961435
000000000   273196548
080003060   485723961
001004000   961854327
000600000   512647893
604000710   694538712
000000000   738219654

Original    Solution
035006000   735126894
001008020   691348527
400057000   428957136
007200040   167283945
502000000   542719368
003005700   983465712
000000400   256891473
000072000   314572689
000000000   879634251

Original    Solution
400000000   432169578
100050030   187254639
060703000   965783124
000040000   218345967
070600000   374691285
050002000   659872341
800010400   826517493
503020710   543928716
000000000   791436852

Original    Solution
010000040   213578649
005431000   695431827
070600050   874629153
420050000   421756398
006003210   756893214
000000000   389214576
002000700   942365781
100002000   137982465
000000000   568147932

Original    Solution
002010480   372916485
000500000   186542379
050700000   954783216
000020000   897124563
000005700   213695748
060030100   465837192
031460000   531469827
740008000   749258631
000000000   628371954

Original    Solution
000640080   135642789
002000000   642987315
000100000   789135264
271408000   271468593
000000100   964523178
800710600   853719642
400000020   497351826
000870050   326874951
000000000   518296437

Original    Solution
005000210   465839217
083700000   283716459
000200600   791245638
000400000   326471895
000000020   578693124
100500700   149582763
810307000   812357946
600008500   634928571
000000000   957164382

Original    Solution
000825040   167825349
500700000   524739168
308060000   398461257
000000030   215976834
000210000   436218795
070000000   879354612
080507400   681597423
040003070   942183576
000000000   753642981

Original    Solution
000300000   157324689
420060010   423869517
680005000   689175243
500000000   536291478
000500060   814537962
002006130   792486135
005700000   365742891
040013000   248913756
000000000   971658324

Original    Solution
050200100   854236179
230000050   231749658
006008000   796158234
005007000   125387946
007000020   467915823
003460000   983462517
008004000   318624795
070500400   672593481
000000000   549871362

Original    Solution
050003000   256193748
007650000   147658239
000742510   389742516
000037000   412937865
000010000   568214397
000800400   973865421
000080600   721389654
004000170   894526173
000000000   635471982

Original    Solution
500300060   514327968
000000070   263598174
080000000   789164352
000000500   471932586
650001200   658471239
002000740   392856741
007080010   927683415
006205800   136245897
000000000   845719623

Original    Solution
008000020   148375926
200048000   267948135
000100740   935126748
070003060   479813562
000200010   853269417
001007800   621457893
500000000   582691374
310000600   314782659
000000000   796534281

Original    Solution
000800050   134892756
008060000   758164239
200000040   269357148
010203600   815243697
000508000   396578412
070000000   472619385
083721000   583721964
001400000   921486573
000000000   647935821

Original    Solution
000036000   427136589
000000130   698245137
135800000   135879246
000000400   819652473
200007600   243987615
000300800   576314892
080501360   782591364
000008000   354768921
000000000   961423758

Original    Solution
100000000   124687359
003210080   573219684
600530010   689534712
000700000   316725948
200000060   248193567
050408020   957468123
800000400   832956471
000001200   495871236
000000000   761342895

Original    Solution
060003000   165243798
000001060   237891465
000007020   849567123
084070000   384179652
720000080   726354981
000600300   591628347
678000200   678435219
002080000   912786534
000000000   453912876

Original    Solution
000008040   215368749
800004000   839174526
060000000   764259831
400080370   456981372
000002000   978632154
103500060   123547968
047015000   647815293
500000600   582493617
000000000   391726485

Original    Solution
040000000   143678259
000000800   576192834
020500070   928534176
000251080   369251487
007000000   217489365
485060020   485367921
000000710   634925718
701003000   751843692
000000000   892716543

Original    Solution
408000200   418395276
050006040   257186943
000700080   396742185
000000400   123968457
060450010   769453812
080000000   584271639
000610000   832617594
000804360   975824361
000000000   641539728

Original    Solution
803007010   823647519
570000000   571329468
000000030   469158237
004580700   134586792
000000000   258791346
000230850   697234851
000413600   982413675
300000000   316875924
000000000   745962183

Original    Solution
000050000   213457986
407600000   497682135
000030200   568139247
800000600   841973652
002508000   632518479
000004010   759264318
104700020   184796523
000301060   975321864
000000000   326845791

Original    Solution
080006000   182346759
007000000   347195268
005070100   695872134
000020600   713928645
000050010   429653817
508004000   568714923
000200000   856239471
031460580   931467582
000000000   274581396

Original    Solution
060700000   165724839
000000450   293618457
008000020   748593126
000385040   927385641
036100000   536147298
400002300   481962375
672030000   672839514
000000000   319456782
000000000   854271963

Original    Solution
008000050   148629357
002030000   752134698
003507000   693587142
500000020   537896421
006053080   416253789
020000000   829741563
074000000   274368915
001400230   981475236
000000000   365912874

Original    Solution
000800700   124835769
000016080   357916284
060400000   968427351
000060800   412563897
070000500   679148532
830700400   835792416
701200000   781259643
